Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,110,110.9,111.1,111.3,112.5,114.3,116.4,117.5,116.8,116.1,117.1,117.4
2016,116.8,117.8,118.3,119,119.8,122.5,123.8,124.6,124,122.7,123.5,123.6
2017,123,123.5,124,123.7,124.9,127.3,128.3,129.2,128.6,127.4,127.6,128.1
2018,127.6,128.7,129.4,130.4,131.5,135.6,137.4,138.6,138.1,137.2,138,138.2
2019,138.4,139.4,140.7,140.5,142,146.1,148.3,149.5,148.1,146,147.2,148.1
2020,147.4,148.2,148.9,146.1,146.7,147.9,148.6,150.2,151.1,150.6,150.9,150.9
2021,150.5,151.6,152.3,152.9,154.3,156.7,158.1,159.6,161.4,162,163.1,163.8
2022,163.2,164.7,165.7,167.1,169.4,173.8,176.4,177.6,176.1,174.1,174.4,174.2
2023,172.6,172.3,171.8,169.5,169,170.1,169.6,168.6,166.8,164.1,163.6,164.1
2024,162.5,162.6,163.2,162.8,163.3,165.6,166.3,166.9,166.2,164,164.5,165.7
2025,166.3,167.6,168.5,167.2,168.2,171.4,171.5,169.6(P),,,,
