Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,3104,3109.9,3120.4,3122.5,3132.1,3146,3148.2,3156.8,3164.4,3168,3174.5,3183.4
2016,3193.4,3205.9,3213.2,3224.5,3233.3,3235.5,3247.7,3254.3,3265,3264.9,3274.6,3278.9
2017,3279.8,3290,3299.2,3306.8,3313.5,3323.6,3327.2,3327.2,3333.7,3340.6,3346.3,3357.5
2018,3372.2,3382.2,3388.6,3385.9,3394.1,3399.8,3398.6,3404.3,3411.2,3421.3,3425.6,3427.2
2019,3442.4,3422.9,3444.5,3457,3464.9,3469.7,3475.8,3478.2,3480.1,3485.2,3490.6,3502.5
2020,3507.1,3512.9,3491.3,3096.9,3086.6,3166.5,3210.2,3242.7,3261.3,3269.5,3277.6,3258.7
2021,3261.9,3283.6,3307.6,3329.6,3341.2,3352.8,3381.1,3397,3411,3446.4,3457.6,3466.1
2022,3459.6,3490.1,3499.5,3504.2,3509.3,3506.7,3542.6,3555.9,3552.6,3559.4,3561.2,3563
2023,3581.8,3585.6,3582.5,3589.6,3594,3603.4,3594.6,3598.3,3600.9,3598.2,3605.3,3613.9
2024,3609.8,3619.7,3625.8,3631.8,3639.1,3640.6,3639.3,3642,3654,3628.2,3661.9,3674.2
2025,3671.7,3662.4,3666.2,3664.1,3667.7,3667.6,3672.3,3661.8(P),,,,
