Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,396,397.1,399.1,400.7,402.4,404.5,404.2,406.7,408.4,410.4,411.8,414.3
2016,414.9,416.8,418,418.9,420.5,421.1,422.9,424.2,426,425.9,428.7,429.6
2017,432.5,434.3,436.5,438.6,441.4,443.1,445.5,447.1,446.7,447.6,448.3,450.1
2018,452.2,455.1,457.3,454.7,455.7,457.2,457.2,458.8,459.7,460.5,462.2,462.4
2019,463.2,461.5,465,470.6,472.9,474.6,477.9,479.2,479.7,481,481.2,484.6
2020,486.1,486.8,486.9,456.2,455.3,460.7,463.8,467.3,471.7,480.3,483,486.6
2021,483.2,484.5,488.3,486.9,489.1,489.5,494,497.5,500.7,510.8,513.5,517.8
2022,531.1,537.2,541.1,543.2,545,544.7,547.7,549.2,547.6,549.8,549.2,548.9
2023,548.2,547.4,545.3,545,544.3,545.5,545.1,544.7,545,545.1,546.3,545.6
2024,545,545.1,545.4,545.5,546.8,547.6,547,546.6,548.3,550.7,550.9,553.1
2025,553.7,552.6,554.2,558.1,556.8,553.4,551,546.6(P),,,,
