"Period","Vacancy Rate","Net Absorption SF","Available SF Total","Available SF Direct","Available SF Sublet","Market Asking Rent/SF","Market Asking Rent Growth","Inventory SF","Under Constr SF","Under Constr % of Inventory","12 Mo Net Absorp SF","Market Sale Price/SF","12 Mo Sales Vol","12 Mo Sales Vol Growth","Year","Submarket","Asset Value","Availability Rate","Market Cap Rate"
"2025 Q3",0.171258548155265,-898732,"42291984","37237039","5143650",38.3001590478361,"-0.00933941403743237",236049029,"4835532","0.0204852865545996",-2343452,402.05780902376,"1837242575","0.504021500826769",2025,"Greater Seattle Metro",NA,NA,NA
"2025 Q2",0.167852305592166,-936117,"43884770","38441588","5524678",38.5445910830828,"0.00668144505935899",236162821,"4803632","0.0203403396845433",-1618982,401.196968522495,"1945503199","1.44158396233446",2025,"Greater Seattle Metro",NA,NA,NA
"2025 Q1",0.163938274623025,-166427,"43794358","38538344","5456763",38.6154459519853,"0.0148684885043954",236176897,"4795209","0.0203034634670469",-768657,398.097146194555,"1606884777","1.7344648122377",2025,"Greater Seattle Metro",NA,NA,NA
"2024 Q4",0.161231859222996,-342176,"43491623","37704179","6021949",38.6639740449041,"0.01438908368408",235613254,"5397305","0.0229074761643078",-1808701,404.068386126064,"1638651148","2.29942374441375",2024,"Greater Seattle Metro",NA,NA,NA
"2024 Q3",0.158860709429436,-174262,"43160138","37119013","6274862",38.661232303516,"0.0125373472237466",235355867,"5732654","0.0243573872751598",-3098472,413.44881334165,"1221553398","0.887017362223044",2024,"Greater Seattle Metro",NA,NA,NA
"2024 Q2",0.153758167060855,-85792,"42781283","36750005","6242528",38.2887667913756,"0.00396783854115048",234142678,"6945843","0.0296650019523566",-3589364,404.081571260181,"796820109","-0.131605433560254",2024,"Greater Seattle Metro",NA,NA,NA
"2024 Q1",0.153593911321417,-1206471,"42563497","35936119","6893107",38.0497043601114,"-0.0019483889966702",234198600,"6984994","0.0298250886213667",-4216792,409.076566182754,"587641417","-0.720770483098891",2024,"Greater Seattle Metro",NA,NA,NA
"2023 Q4",0.142959067997343,-1631947,"41755538","35026294","6922996",38.1155265438026,"-0.0024453152972527",232700195,"8520918","0.036617579972376",-4669837,427.391634975501,"496647680","-0.858217453232355",2023,"Greater Seattle Metro",NA,NA,NA
"2023 Q3",0.129013611393023,-665154,"40624010","33487429","7306519",38.1825247330583,"0.0011870943917299",230848084,"10372815","0.0449335113389982",-3351348,437.699207216511,"647346136","-0.858901340059538",2023,"Greater Seattle Metro",NA,NA,NA
"2023 Q2",0.120655988814737,-713220,"38646953","31782131","7019638",38.1374435729061,"0.00768241767718649",229410436,"11766447","0.0512899378300297",-2873327,449.020531306129,"917578414","-0.860943525295853",2023,"Greater Seattle Metro",NA,NA,NA
