"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"12020 FREMONT AVE N","6065061-CN","Single Family/Duplex","Residential","New","Establish use and construct single family dwelling & ADU on the lower floor with attached garage per plans.","1","0","1","2007 Jun 22 12:00:00 AM","479,409","2009 Feb 25 12:00:00 AM","2027 Feb 25 12:00:00 AM","Issued","SEATTLE","WA","98133","LOU R LINCOLN","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6065061-CN","47.71655661","-122.34996421","POINT (-122.34996421 47.71655661)"
"9504 PHINNEY AVE N","6070631-CN","Single Family/Duplex","Residential","New","Demolish existing single family residence. Establish use as single family residence. Construct a one family dwelling with attached garage per plan.","1","0","1","2003 Nov 07 12:00:00 AM","198,744","2005 Aug 26 12:00:00 AM",,"Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6070631-CN","47.69812273","-122.3537842","POINT (-122.3537842 47.69812273)"
"9708 RENTON AVE S","6079388-CN","Single Family/Duplex","Residential","New","ESTABLISH USE AND OCCUPY AS SINGLE FAMILY RESIDENC NEW CONSTRUCTION OF A 3-STORY + BSMT SINGLE FAMILY WITH ATTACHED GARAGE PER PLAN","0","0","0","2003 Jun 24 12:00:00 AM","225,642","2004 May 19 12:00:00 AM","2026 Nov 18 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6079388-CN","47.51400074","-122.26491608","POINT (-122.26491608 47.51400074)"
"3751 SW 100TH ST","6076533-CN","Single Family/Duplex","Residential","New","DEMOLISH EXISTING GARAGE  ESTABLISH USE AS SINGLE FAMILY RESIDENCE  CONSTRUCT NEW ONE FAMILY DWELLING  PER PLANS","1","0","1","2004 Jan 12 12:00:00 AM","101,000","2005 Oct 20 12:00:00 AM","2026 Jun 06 12:00:00 AM","Issued","SEATTLE","WA","98146",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6076533-CN","47.51333138","-122.38133165","POINT (-122.38133165 47.51333138)"
,"6099834-CN","Multifamily","Residential","New","ESTABLISH A STANDARD PLAN FOR BUILDING TYPE #2 FOR THE SYLVAN HEIGHTS DEVELOPMENT PROJECT  4-UNIT & 3-STORY TOWNHOUSE WITH ATTACHED GARAGES  PER PLAN - NO CONSTRUCTION/OCCUPANCY THIS PERMIT.  STRUCTURAL DESIGN IS SPECIFIC TO SYLVAN HEIIGHTS - USE ELSEWHERE REQUIRES ADDITIONAL REVIEW.","0","0","0","2005 May 17 12:00:00 AM","628,598","2006 Jun 23 12:00:00 AM",,"Issued",,,,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6099834-CN",,,
"5107 48TH AVE S","6128413-CN","Single Family/Duplex","Residential","New","Establish use as single family residence and construct single family residence with attached garage  per plan.","1","0","1","2008 Dec 30 12:00:00 AM","268,910","2009 Mar 23 12:00:00 AM","2026 Mar 23 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6128413-CN","47.5558247","-122.27294907","POINT (-122.27294907 47.5558247)"
"737 S ELMGROVE ST","6205595-CN","Commercial","Non-Residential","New","Establish use and construct new office building with on site parking  occupy per plan.","0","0","0","2012 Jun 15 12:00:00 AM","471,595","2013 Oct 18 12:00:00 AM","2027 Apr 18 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6205595-CN","47.53033521","-122.32384718","POINT (-122.32384718 47.53033521)"
"1017 CALIFORNIA LN SW","6211046-CN","Single Family/Duplex","Residential","New","Establish use as single family dwelling and construct one family dewlling with attach garage on the EAST (Building A) per plan. (Establish use for 2 single family dwellings and construct 2 0ne-family dwellings with attached garages  per plan.  Review and processing for 2 AP's under 6207150).","1","0","1","2009 Mar 18 12:00:00 AM","509,541","2022 Mar 07 12:00:00 AM","2026 Sep 07 12:00:00 AM","Issued","SEATTLE","WA","98116",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6211046-CN","47.59394344","-122.38733391","POINT (-122.38733391 47.59394344)"
"1019 CALIFORNIA LN SW","6207150-CN","Single Family/Duplex","Residential","New","Establish use as single family dwelling and construct one family dewlling with attach garage on the WEST (Building B) per plan. (Establish use for 2 single family dwellings and construct 2 0ne-family dwellings with attached garages  per plan.  Review and processing for 2 AP's under 6207150).","1","0","1","2009 Mar 18 12:00:00 AM","540,127","2022 Mar 07 12:00:00 AM","2026 Sep 07 12:00:00 AM","Issued","SEATTLE","WA",,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6207150-CN","47.59385922","-122.38760246","POINT (-122.38760246 47.59385922)"
"4812 S FRONTENAC ST","6260799-CN","Single Family/Duplex","Residential","New","Establish use as and construct new single family residence with attached garage  per plan.","1","0","1","2011 May 03 12:00:00 AM","271,406","2014 Apr 17 12:00:00 AM","2020 Apr 17 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6260799-CN","47.53997716","-122.27205593","POINT (-122.27205593 47.53997716)"
"815 W NICKERSON ST","6275519-CN","Multifamily","Residential","New","Construct new South 3 unit townhouse structure with attached garage occupy per plan.(Establish use and construct 2 townhouses  w/attached garages). (Review and process for 2 AP's under #6273944)","3","0","3","2011 Mar 25 12:00:00 AM","735,203","2018 Oct 13 12:00:00 AM","2026 Apr 13 12:00:00 AM","Issued","SEATTLE","WA","98119",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6275519-CN","47.65233921","-122.36824037","POINT (-122.36824037 47.65233921)"
"819 W NICKERSON ST","6278259-CN","Multifamily","Residential","New","Construct new North 3 unit townhouse building with attached garage occupy per plan.(Establish use as and construct 2 new townhouse structure w/attached garage ( Review and process for 2 AP's under 6273948","3","0","3","2011 Mar 25 12:00:00 AM","805,240","2018 Oct 19 12:00:00 AM","2026 Apr 19 12:00:00 AM","Issued","SEATTLE","WA","98119","DAN O'NEILL","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6278259-CN","47.65262","-122.36846504","POINT (-122.36846504 47.65262)"
